point_id,lon,lat,note,property,depth,value,target_units,mapped_units
se_corner,-57.03356,-25.61172,SE corner (lowest),clay,15-30cm,22.800,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),clay,30-60cm,29.200,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),clay,60-100cm,30.800,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),clay,100-200cm,32.600,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),sand,0-5cm,52.500,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),sand,5-15cm,51.300,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),sand,15-30cm,50.000,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),sand,30-60cm,46.100,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),sand,60-100cm,44.400,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),sand,100-200cm,43.300,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),silt,0-5cm,28.300,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),silt,5-15cm,27.800,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),silt,15-30cm,27.200,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),silt,30-60cm,24.600,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),silt,60-100cm,24.800,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),silt,100-200cm,24.100,%,g/kg
se_corner,-57.03356,-25.61172,SE corner (lowest),phh2o,0-5cm,5.400,-,pH*10
se_corner,-57.03356,-25.61172,SE corner (lowest),phh2o,5-15cm,5.300,-,pH*10
se_corner,-57.03356,-25.61172,SE corner (lowest),phh2o,15-30cm,5.300,-,pH*10
se_corner,-57.03356,-25.61172,SE corner (lowest),phh2o,30-60cm,5.300,-,pH*10
se_corner,-57.03356,-25.61172,SE corner (lowest),phh2o,60-100cm,5.300,-,pH*10
se_corner,-57.03356,-25.61172,SE corner (lowest),phh2o,100-200cm,5.300,-,pH*10
se_corner,-57.03356,-25.61172,SE corner (lowest),bdod,0-5cm,1.200,kg/dm³,cg/cm³
se_corner,-57.03356,-25.61172,SE corner (lowest),bdod,5-15cm,1.240,kg/dm³,cg/cm³
se_corner,-57.03356,-25.61172,SE corner (lowest),bdod,15-30cm,1.280,kg/dm³,cg/cm³
