id,type,source,license,size_mb,files,resolution_hint,integration_target,lqv_use_score,notes
cobblestone_floor_03,texture,polyhaven.com,CC0 1.0 Universal,22.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/water,5,creek/river bed
cobblestone_large_01,texture,polyhaven.com,CC0 1.0 Universal,38.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/water,5,creek/river bed
corrugated_iron,texture,polyhaven.com,CC0 1.0 Universal,32.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/roof,4,vernacular metal roofing
corrugated_iron_02,texture,polyhaven.com,CC0 1.0 Universal,39.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/roof,4,vernacular metal roofing
corrugated_iron_03,texture,polyhaven.com,CC0 1.0 Universal,22.9,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/roof,4,vernacular metal roofing
cracked_red_ground,texture,polyhaven.com,CC0 1.0,98.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,terrain/ground,5,Paraguayan red-earth ground
damaged_plaster,texture,polyhaven.com,CC0 1.0 Universal,39.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,vernacular wall finishes
dark_brick_wall,texture,polyhaven.com,CC0 1.0 Universal,51.2,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/material,5,rural Paraguayan masonry
dark_planks,texture,polyhaven.com,CC0 1.0 Universal,25.8,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/floor,4,decking + floor finishes
dark_wood,texture,polyhaven.com,CC0 1.0,40.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
dark_wooden_planks,texture,polyhaven.com,CC0 1.0 Universal,39.3,AO|Diffuse|Displacement|Rough|nor_gl,4k,house/floor,4,decking + floor finishes
dirt_aerial_02,texture,polyhaven.com,CC0 1.0 Universal,31.1,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
dirt_aerial_03,texture,polyhaven.com,CC0 1.0 Universal,17.7,AO|Diffuse|Displacement|Rough|nor_gl,4k,unclassified,1,
