source,class,order,family,genus,scientificName,vernacularName,occurrenceCount,iucnRedListCategory
GBIF,Magnoliopsida,Gentianales,Rubiaceae,Randia,Randia armata,Chanlla kaspi,23,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia pyriformis,perita costeña,23,
GBIF,Magnoliopsida,Malvales,Malvaceae,Guazuma,Guazuma invira,,23,
GBIF,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia rusbyi,,22,
GBIF,Magnoliopsida,Gentianales,Apocynaceae,Macroscepis,Macroscepis grandiflora,,21,
GBIF,Magnoliopsida,Vitales,Vitaceae,Cissus,Cissus verticillata,A’ji no’e,21,
GBIF,Magnoliopsida,Malpighiales,Euphorbiaceae,Alchornea,Alchornea triplinervia,Gakamenewe,21,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Plinia,Plinia rivularis,Ibaporoití,21,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia uniflora,cerezo de Cayena,21,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia myrcianthes,Ubajay,21,
GBIF,Magnoliopsida,Gentianales,Apocynaceae,Prestonia,Prestonia cyaniphylla,,21,
GBIF,Magnoliopsida,Caryophyllales,Phytolaccaceae,Rivina,Rivina humilis,Bajatripa,20,
GBIF,Magnoliopsida,Lamiales,Acanthaceae,Justicia,Justicia brasiliana,Jacobina-vermelha,20,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Diatenopteryx,Diatenopteryx sorbifolia,Maria Preta,20,
GBIF,Magnoliopsida,Santalales,Viscaceae,Phoradendron,Phoradendron bathyoryctum,Liga del Tala,20,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia repanda,Arrayán negro,20,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Fridericia,Fridericia triplinervia,,20,
GBIF,Magnoliopsida,Sapindales,Sapindaceae,Thinouia,Thinouia paraguayensis,,20,
GBIF,Magnoliopsida,Lamiales,Verbenaceae,Verbena,Verbena peruviana,,19,
GBIF,Magnoliopsida,Rosales,Cannabaceae,Celtis,Celtis iguanaea,Tala gateador,19,
GBIF,Magnoliopsida,Asterales,Asteraceae,Vernonanthura,Vernonanthura chamaedrys,Assapeixe-branco,19,
GBIF,Magnoliopsida,Lamiales,Bignoniaceae,Handroanthus,Handroanthus impetiginosum,Amapa,19,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia hiemalis,Guamirim-aperta-cu,19,
GBIF,Magnoliopsida,Ericales,Primulaceae,Myrsine,Myrsine umbellata,Capororoca,19,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Myrcianthes,Myrcianthes pungens,guaviyú,18,
GBIF,Magnoliopsida,Sapindales,Rutaceae,Zanthoxylum,Zanthoxylum fagara,Sasafrás,18,
GBIF,Magnoliopsida,Lamiales,Verbenaceae,Aloysia,Aloysia gratissima,Cedrón de monte,18,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia psidiiflora,,18,
GBIF,Magnoliopsida,Myrtales,Myrtaceae,Eugenia,Eugenia punicifolia,Murta,18,
GBIF,Magnoliopsida,Laurales,Lauraceae,Ocotea,Ocotea puberula,Laurel Guaica,18,
