binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn
Leandra barbinervis,Melastomataceae,Leandra barbinervis (Cham. ex Triana) Cogn.,tree,confirmed,171,NA,100.0,pure_endemic,Endemic,153,0,,,,,,,,,,
Leandra brackenridgei,Melastomataceae,Leandra brackenridgei (A.Gray) Cogn.,shrub,confirmed,29,NA,100.0,pure_endemic,Endemic,25,0,,,,,,,,,,
Leandra breviflora,Melastomataceae,Leandra breviflora Cogn.,shrub,confirmed,55,NA,100.0,pure_endemic,Endemic,38,0,,,,,,,,,,
Leandra carassana,Melastomataceae,Leandra carassana (DC.) Cogn.,tree,confirmed,425,NA,98.69,near_endemic,Not endemic,382,3,,,,,,,,,,
Leandra clidemioides,Melastomataceae,Leandra clidemioides (Naudin) Wurdack,tree,confirmed,130,NA,54.55,widespread,Endemic,52,43,,,,,,,,,,
Leandra cogniauxii,Melastomataceae,Leandra cogniauxii (D'El Rei Souza) Reginato,shrub,confirmed,5,NA,100.0,pure_endemic,Endemic,5,0,,,,,,,,,,
Leandra collina,Melastomataceae,Leandra collina Wurdack,shrub,confirmed,9,NA,100.0,pure_endemic,Endemic,7,0,,,,,,,,,,
Leandra crenata,Melastomataceae,Leandra crenata Cogn.,shrub,new to AF,44,NA,16.67,widespread,Not in the AF,3,18,,,,,,,,,,
Leandra cuneata,Melastomataceae,Leandra cuneata (Mart.) Cogn.,tree,confirmed,45,NA,100.0,pure_endemic,Endemic,31,0,,,,,,,,,,
Leandra dentata,Melastomataceae,Leandra dentata Cogn.,tree,confirmed,11,NA,100.0,pure_endemic,Endemic,6,0,,,,,,,,,,
Leandra fallacissima,Melastomataceae,Leandra fallacissima Markgr.,shrub,confirmed,36,NA,100.0,pure_endemic,Endemic,36,0,,,,,,,,,,
Leandra fallax,Melastomataceae,Leandra fallax (Cham.) Cogn.,shrub,confirmed,70,NA,100.0,pure_endemic,Endemic,67,0,,,,,,,,,,
Leandra glabrata,Melastomataceae,Leandra glabrata (Bunbury) Cogn.,shrub,confirmed,41,NA,100.0,pure_endemic,Not endemic,33,0,,,,,,,,,,
Leandra grayana,Melastomataceae,Leandra grayana Cogn.,shrub,confirmed,22,NA,40.0,widespread,Endemic,3,3,,,,,,,,,,
Leandra hirta,Melastomataceae,Leandra hirta Raddi,shrub,confirmed,14,NA,100.0,pure_endemic,Endemic,10,0,,,,,,,,,,
Leandra lacunosa,Melastomataceae,Leandra lacunosa Cogn.,shrub,confirmed,235,NA,21.11,widespread,Not endemic,41,140,,,,,,,,,,
Leandra laevigata,Melastomataceae,Leandra laevigata (Triana) Cogn.,tree,confirmed,212,NA,99.7,near_endemic,Endemic,206,0,,,,,,,,,,
Leandra lancifolia,Melastomataceae,Leandra lancifolia Cogn.,tree,confirmed,32,NA,75.0,widespread,Not endemic,19,5,,,,,,,,,,
Leandra melastomoides,Melastomataceae,Leandra melastomoides Raddi,tree,confirmed,926,NA,88.25,near_endemic,Not endemic,728,77,,,,,,,,,,
Leandra micropetala,Melastomataceae,Leandra micropetala (Naudin) Cogn.,tree,confirmed,92,NA,7.75,occasional,Not endemic,5,67,,,,,,,,,,
Leandra mouraei,Melastomataceae,Leandra mouraei Cogn.,tree,confirmed,6,NA,100.0,pure_endemic,Endemic,4,0,,,,,,,,,,
