binomial,family,scientific_name_full,life_form,af_status,n_records_af,ornamental_or_cultivated,endemism_level_pct,endemism_group,endemism_bf2020,records_inside_af,records_outside_af,py_threat_category,ar_threat_category,ar_endemic_category,uses,is_timber,lqv_25km_documented,lqv_25km_sources,lqv_25km_occurrences,lqv_vernacular,lqv_iucn,lqv_priority_score
Pouteria psammophila,Sapotaceae,Pouteria psammophila (Mart.) Radlk.,tree,confirmed,39,NA,87.69,widespread,Endemic,30,4,,,,,,,,,,,1
Pouteria ramiflora,Sapotaceae,Pouteria ramiflora (Mart.) Radlk.,tree,confirmed,711,NA,13.2,widespread,Not endemic,39,460,,,,,,,,,,,1
Pouteria reticulata,Sapotaceae,Pouteria reticulata (Engl.) Eyma,tree,confirmed,487,NA,14.42,widespread,Not endemic,70,346,,,,,,,,,,,1
Pouteria salicifolia,Sapotaceae,Pouteria salicifolia (Spreng.) Radlk.,tree,confirmed,50,NA,54.55,widespread,Not endemic,22,12,,,,,,,,,,,1
Pouteria subcaerulea,Sapotaceae,Pouteria subcaerulea Pierre ex Dubard,shrub,new to AF,53,NA,13.04,widespread,Not in the AF,1,23,,,,,,,,,,,1
Pouteria subsessilifolia,Sapotaceae,Pouteria subsessilifolia Cronquist,shrub,new to AF,20,NA,85.19,widespread,Not in the AF,8,0,,,,,,,,,,,1
Pouteria torta,Sapotaceae,Pouteria torta (Mart.) Radlk.,tree,confirmed,438,NA,16.4,widespread,Not endemic,51,303,,,,,,,,,,,1
Pouteria venosa,Sapotaceae,Pouteria venosa (Mart.) Baehni,tree,confirmed,301,NA,57.47,widespread,Not endemic,153,103,,,,,,,,,,,1
Pseudolmedia laevigata,Moraceae,Pseudolmedia laevigata Trecul,tree,confirmed,396,NA,0.47,occasional,Not endemic,1,290,,,,,,,,,,,1
Pseudolmedia laevis,Moraceae,Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.,tree,new to AF,431,NA,0.79,occasional,Not in the AF,2,326,,,,,,,,,,,1
Pseudolmedia macrophylla,Moraceae,Pseudolmedia macrophylla Trecul,tree,confirmed,185,NA,0.79,occasional,Not endemic,10,150,,,,,,,,,,,1
Pseudomalmea diclina,Annonaceae,Pseudomalmea diclina (R.E.Fr.) Chatrou,tree,new to AF,104,NA,1.19,occasional,Not in the AF,1,83,,,,,,,,,,,1
Pseudopiptadenia brenanii,Fabaceae,Pseudopiptadenia brenanii G.P.Lewis & M.P.Lima,tree,new to AF,107,NA,25.22,widespread,Not in the AF,5,23,,,,,,,,,,,1
Pseudoxandra lucida,Annonaceae,Pseudoxandra lucida R.E.Fr.,tree,new to AF,95,NA,1.41,occasional,Not in the AF,1,76,,,,,,,,,,,1
Psidium acutangulum,Myrtaceae,Psidium acutangulum DC.,tree,new to AF,286,NA,1.9,occasional,Not in the AF,4,213,,,,,,,,,,,1
Psidium appendiculatum,Myrtaceae,Psidium appendiculatum Kiaersk.,tree,new to AF,90,NA,17.56,widespread,Not in the AF,4,48,,,,,,,,,,,1
