species,kingdom,family,genus,decimalLatitude,decimalLongitude,year,basisOfRecord,occurrenceID,license
Adiantopsis radiata,Plantae,Pteridaceae,Adiantopsis,-26.204392,-56.054436,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335507935,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Agelaioides badius,Animalia,Icteridae,Agelaioides,-25.3383,-57.523,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335126598,http://creativecommons.org/licenses/by/4.0/legalcode
Scinax acuminatus,Animalia,Hylidae,Scinax,-24.967061,-57.29317,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334227296,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Adimantus ornatissimus,Animalia,Acrididae,Adimantus,-27.389406,-56.85747,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334127229,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Strix virgata,Animalia,Strigidae,Strix,-26.511512,-55.784182,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336174971,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Paroaria coronata,Animalia,Thraupidae,Paroaria,-25.3379,-57.5265,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334082008,http://creativecommons.org/licenses/by/4.0/legalcode
Phthiacnemia picta,Animalia,Coreidae,Phthiacnemia,-25.54468,-56.973,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334110277,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Quesada gigas,Animalia,Cicadidae,Quesada,-25.3306,-57.5304,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334467112,http://creativecommons.org/licenses/by/4.0/legalcode
Latrodectus geometricus,Animalia,Theridiidae,Latrodectus,-25.341,-57.5327,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335813197,http://creativecommons.org/licenses/by/4.0/legalcode
Nicotiana glauca,Plantae,Solanaceae,Nicotiana,-25.278122,-57.503528,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/335705837,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Amphisbaena camura,Animalia,Amphisbaenidae,Amphisbaena,-25.309128,-57.601605,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/336039253,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Hypanartia lethe,Animalia,Nymphalidae,Hypanartia,-25.463016,-56.063763,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334433827,http://creativecommons.org/licenses/by-nc/4.0/legalcode
Leptopogon amaurocephalus,Animalia,Tyrannidae,Leptopogon,-27.046094,-55.564564,2026,HUMAN_OBSERVATION,https://www.inaturalist.org/observations/334861768,http://creativecommons.org/licenses/by-nc/4.0/legalcode
